MIC_id,SpeciesName,SpeciesID,phylum_name_Type,genus,genus_name,family,family_name,order,order_name,class,class_name,phylum,phylum_name,kingdom,kingdom_name
MC01474,unclassified Verrucomicrobiales,388747,Verrucomicrobiota,.,.,.,.,48461,Verrucomicrobiales,203494,Verrucomicrobiia,74201,Verrucomicrobiota,2,Bacteria
MC01421,unclassified Verrucomicrobiota,417295,Verrucomicrobiota,.,.,.,.,.,.,.,.,74201,Verrucomicrobiota,2,Bacteria
MC02780,unclassified Vibrionaceae,130818,Pseudomonadota,.,.,641,Vibrionaceae,135623,Vibrionales,1236,Gammaproteobacteria,1224,Pseudomonadota,2,Bacteria
MC02850,unclassified Vibrionales,391573,Pseudomonadota,.,.,.,.,135623,Vibrionales,1236,Gammaproteobacteria,1224,Pseudomonadota,2,Bacteria
MC01487,unclassified Victivallaceae,573637,Lentisphaerota,.,.,255528,Victivallaceae,278082,Victivallales,1313211,Lentisphaeria,256845,Lentisphaerota,2,Bacteria
MC02921,unclassified Victivallales,1674876,Lentisphaerota,.,.,.,.,278082,Victivallales,1313211,Lentisphaeria,256845,Lentisphaerota,2,Bacteria
MC02842,unclassified Xanthobacteraceae,363886,Pseudomonadota,.,.,335928,Xanthobacteraceae,356,Hyphomicrobiales,28211,Alphaproteobacteria,1224,Pseudomonadota,2,Bacteria
MC02890,unclassified Zindervirus,979725,Uroviricota,542837,Zindervirus,2731643,Autographiviridae,.,.,2731619,Caudoviricetes,2731618,Uroviricota,2731360,Heunggongvirae
MC03419,uncultured Allomonas sp.,480477,Pseudomonadota,80853,Allomonas,641,Vibrionaceae,135623,Vibrionales,1236,Gammaproteobacteria,1224,Pseudomonadota,2,Bacteria
MC03408,uncultured Anaeroplasmatales bacterium,1159227,Mycoplasmatota,.,.,.,.,186332,Anaeroplasmatales,31969,Mollicutes,544448,Mycoplasmatota,2,Bacteria
MC01484,uncultured Asaccharobacter,553372,Actinomycetota,553372,Asaccharobacter,1643826,Eggerthellaceae,1643822,Eggerthellales,84998,Coriobacteriia,201174,Actinomycetota,2,Bacteria
MC03420,uncultured Asteroleplasma sp.,446074,Mycoplasmatota,2152,Asteroleplasma,186333,Anaeroplasmataceae,186332,Anaeroplasmatales,31969,Mollicutes,544448,Mycoplasmatota,2,Bacteria
MC01061,uncultured bacterium,77133,Unclear phylum,.,.,.,.,.,.,.,.,.,.,2,Bacteria
MC02689,uncultured Bacteroidales bacterium,194843,Bacteroidota,.,.,.,.,171549,Bacteroidales,200643,Bacteroidia,976,Bacteroidota,2,Bacteria
MC01720,uncultured Bacteroidales family S24-7,152509,Bacteroidota,.,.,.,.,.,.,.,.,976,Bacteroidota,2,Bacteria
MC03426,uncultured Carboxydothermus sp.,263864,Bacillota,129957,Carboxydothermus,186814,Thermoanaerobacteraceae,68295,Thermoanaerobacterales,186801,Clostridia,1239,Bacillota,2,Bacteria
MC02690,uncultured Clostridium sp.,59620,Bacillota,1485,Clostridium,31979,Clostridiaceae,186802,Eubacteriales,186801,Clostridia,1239,Bacillota,2,Bacteria
MC03427,uncultured Constrictibacter sp.,1561231,Pseudomonadota,1076933,Constrictibacter,2844601,Stellaceae,204441,Rhodospirillales,28211,Alphaproteobacteria,1224,Pseudomonadota,2,Bacteria
MC02691,uncultured Corynebacteriaceae bacterium,391742,Actinomycetota,.,.,1653,Corynebacteriaceae,85007,Mycobacteriales,1760,Actinomycetes,201174,Actinomycetota,2,Bacteria
MC03429,uncultured Desulfohalobium sp.,994914,Thermodesulfobacteriota,45662,Desulfohalobium,213117,Desulfohalobiaceae,213115,Desulfovibrionales,3031449,Desulfovibrionia,200940,Thermodesulfobacteriota,2,Bacteria
MC03430,uncultured Dichelobacter sp.,543047,Pseudomonadota,869,Dichelobacter,868,Cardiobacteriaceae,135615,Cardiobacteriales,1236,Gammaproteobacteria,1224,Pseudomonadota,2,Bacteria
MC03431,uncultured Ethanoligenens sp.,286556,Bacillota,253238,Ethanoligenens,216572,Oscillospiraceae,186802,Eubacteriales,186801,Clostridia,1239,Bacillota,2,Bacteria
MC02716,uncultured Eubacteriales bacterium,172733,Bacillota,.,.,.,.,186802,Eubacteriales,186801,Clostridia,1239,Bacillota,2,Bacteria
MC01071,uncultured Flavobacteriaceae bacterium,165436,Bacteroidota,.,.,49546,Flavobacteriaceae,200644,Flavobacteriales,117743,Flavobacteriia,976,Bacteroidota,2,Bacteria
MC03434,uncultured Howardella sp.,768570,Bacillota,404402,Howardella,.,.,186802,Eubacteriales,186801,Clostridia,1239,Bacillota,2,Bacteria
MC03439,uncultured Parascardovia sp.,372022,Actinomycetota,196082,Parascardovia,31953,Bifidobacteriaceae,85004,Bifidobacteriales,1760,Actinomycetes,201174,Actinomycetota,2,Bacteria
MC02692,uncultured Prevotellaceae bacterium,370804,Bacteroidota,.,.,171552,Prevotellaceae,171549,Bacteroidales,200643,Bacteroidia,976,Bacteroidota,2,Bacteria
MC03461,uncultured Procabacteriaceae bacterium,1169646,Pseudomonadota,.,.,224469,Procabacteriaceae,224468,Procabacteriales,28216,Betaproteobacteria,1224,Pseudomonadota,2,Bacteria
MC03410,uncultured Procabacteriales bacterium,2072691,Pseudomonadota,.,.,.,.,224468,Procabacteriales,28216,Betaproteobacteria,1224,Pseudomonadota,2,Bacteria
MC02693,uncultured Selenomonas sp.,159275,Bacillota,970,Selenomonas,1843491,Selenomonadaceae,909929,Selenomonadales,909932,Negativicutes,1239,Bacillota,2,Bacteria
MC01077,uncultured Shigella sp.,286134,Pseudomonadota,620,Shigella,543,Enterobacteriaceae,91347,Enterobacterales,1236,Gammaproteobacteria,1224,Pseudomonadota,2,Bacteria
MC02694,uncultured Spirochaeta sp.,174390,Spirochaetota,146,Spirochaeta,137,Spirochaetaceae,136,Spirochaetales,203692,Spirochaetia,203691,Spirochaetota,2,Bacteria
MC02695,uncultured Stomatobaculum sp.,1662277,Bacillota,1213720,Stomatobaculum,186803,Lachnospiraceae,3085636,Lachnospirales,186801,Clostridia,1239,Bacillota,2,Bacteria
MC03446,uncultured Succinispira sp.,548271,Bacillota,78119,Succinispira,909930,Acidaminococcaceae,1843488,Acidaminococcales,909932,Negativicutes,1239,Bacillota,2,Bacteria
MC02696,uncultured Succinivibrionaceae bacterium,538960,Pseudomonadota,.,.,83763,Succinivibrionaceae,135624,Aeromonadales,1236,Gammaproteobacteria,1224,Pseudomonadota,2,Bacteria
MC03450,uncultured Tropheryma sp.,316091,Actinomycetota,2038,Tropheryma,2805591,Tropherymataceae,85006,Micrococcales,1760,Actinomycetes,201174,Actinomycetota,2,Bacteria
MC02697,uncultured Veillonellaceae bacterium,194923,Bacillota,.,.,31977,Veillonellaceae,1843489,Veillonellales,909932,Negativicutes,1239,Bacillota,2,Bacteria
MC03451,uncultured Vibrionimonas sp.,1748248,Bacteroidota,1649511,Vibrionimonas,563835,Chitinophagaceae,1853229,Chitinophagales,1853228,Chitinophagia,976,Bacteroidota,2,Bacteria
MC03148,Undibacterium sp.,1914977,Pseudomonadota,401469,Undibacterium,75682,Oxalobacteraceae,80840,Burkholderiales,28216,Betaproteobacteria,1224,Pseudomonadota,2,Bacteria
MC00264,Unidentified anaerobic bacterium,29565,Unclear phylum,.,.,.,.,.,.,.,.,.,.,2,Bacteria
MC02698,Unidentified bacterium ZF3,130789,Unclear phylum,.,.,.,.,.,.,.,.,.,.,2,Bacteria
MC02699,unidentified human coronavirus,694448,Pisuviricota,.,.,11118,Coronaviridae,76804,Nidovirales,2732506,Pisoniviricetes,2732408,Pisuviricota,2732396,Orthornavirae
MC03454,Unspecified Aphanothecaceae,1890450,Cyanobacteriota,.,.,1890450,Aphanothecaceae,1118,Chroococcales,3028117,Cyanophyceae,1117,Cyanobacteriota,2,Bacteria
MC03455,Unspecified Entylomataceae,62635,Basidiomycota,.,.,62635,Entylomataceae,62914,Entylomatales,452283,Exobasidiomycetes,5204,Basidiomycota,4751,Fungi
MC03457,Unspecified Herpesviridae,10292,Peploviricota,.,.,10292,Herpesviridae,548681,Herpesvirales,2731363,Herviviricetes,2731361,Peploviricota,2731360,Heunggongvirae
MC03458,Unspecified Lipomycetaceae,29827,Ascomycota,.,.,29827,Lipomycetaceae,4892,Saccharomycetales,4891,Saccharomycetes,4890,Ascomycota,4751,Fungi
MC03463,Unspecified Methanobacteria,183925,Euryarchaeota,.,.,.,.,.,.,183925,Methanobacteria,28890,Euryarchaeota,2157,Archaea
