ID,Related_protein,Related_protein_id,GeneName_Standarized,Related_protein_gene_name,UniprotAC,MIC_id,SpeciesName,Strain,StrainID,Drugid,Drug_Name,Type,Type_2,Microbiota_Site,Metabolites,Metabolites_CID,Metabolites_ID,KM,KM_combination,Metabolism_Type,Metabolism_Effect_on_Drug,Microbiota_Influence,Experiment_Materials,Experiment_Model_Species,Model_Condition_Disease,Experiment_Methods,Metabolism_Mechanism,Notes
MD06243,.,.,.,.,.,MC00026,Flavonifractor plautii,Clostridium orbiscindens I1,.,DR0853,Hesperetin dihydrochalcone,Microbiome Metabolic Modification Drug,Directly,.,3-hydroxy-4-methoxybenzenepropanoic acid,2752054,MET0181,.,.,.,involved in drug metabolism,Metabolic modification of Hesperetin dihydrochalcone,Fecal samples,Human,Healthy,"ESI-MS analysis, HPLC analysis","The Clostridium orbiscindens I1 has been reported to metabolic modification of Hesperetin dihydrochalcone, converting it to 3-hydroxy-4-methoxybenzenepropanoic acid.","C.orbiscindens was not able to convert hesperetindihydrochalcone 4--D-glucoside within a period of 43 h, whereas the aglycon was cleaved by this species. C. orbiscindens formed 0.18 mM 3-(3-hydroxy-4-methoxyphenyl)propionic acid from 0.26 mM hesperetin dihydrochalcone within 23 h of incubation."
MD06297,.,.,.,.,.,MC00259,Eubacterium ramulus,Eubacterium ramulus  DSM 16296,.,DR0853,Hesperetin dihydrochalcone,Microbiome Metabolic Modification Drug,Directly,.,3-hydroxy-4-methoxybenzenepropanoic acid,2752054,MET0181,.,.,.,involved in drug metabolism,Metabolic modification of Hesperetin dihydrochalcone,Fecal samples,Human,Healthy,"ESI-MS analysis, HPLC analysis","The Eubacterium ramulus  DSM 16296 has been reported to metabolic modification of Hesperetin dihydrochalcone, converting it to 3-hydroxy-4-methoxybenzenepropanoic acid.","However, hesperetin dihydrochalcone 4--D-glucoside was converted by E. ramulus to hesperetin dihydrochalcone and further to 3-(3-hydroxy-4-methoxyphenyl)propionic acid, but not by C. orbiscindens."
MD00495,.,.,.,.,.,MC00398,Bifidobacterium catenulatum,.,.,DR0320,hesperetin-7-O-rutinoside,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,Metabolic modification of hesperetin-7-O-rutinoside,In vitro,.,.,.,"The Bifidobacterium catenulatum has been reported to metabolic modification of hesperetin-7-O-rutinoside, thereby affecting drug activity.","So far, only a limited number of human Bifidobacterium species, such as B. catenulatum, B. pseudocatenulatum and B. pseudocatenulatum WC0403, have been reported to be able to initiate the catabolism of hesperetin-7-O-rutinoside"
MD00542,.,.,.,.,.,MC00139,Bifidobacterium pseudocatenulatum,.,.,DR0320,hesperetin-7-O-rutinoside,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,Metabolic modification of hesperetin-7-O-rutinoside,In vitro,.,.,.,"The Bifidobacterium pseudocatenulatum has been reported to metabolic modification of hesperetin-7-O-rutinoside, thereby affecting drug activity.","So far, only a limited number of human Bifidobacterium species, such as B. catenulatum, B. pseudocatenulatum and B. pseudocatenulatum WC0403, have been reported to be able to initiate the catabolism of hesperetin-7-O-rutinoside"
MD00546,.,.,.,.,.,MC00139,Bifidobacterium pseudocatenulatum,Bifidobacterium pseudocatenulatum WC0403,.,DR0320,hesperetin-7-O-rutinoside,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,Metabolic modification of hesperetin-7-O-rutinoside,In vitro,.,.,.,"The Bifidobacterium pseudocatenulatum WC0403 has been reported to metabolic modification of hesperetin-7-O-rutinoside, thereby affecting drug activity.","So far, only a limited number of human Bifidobacterium species, such as B. catenulatum, B. pseudocatenulatum and B. pseudocatenulatum WC0403, have been reported to be able to initiate the catabolism of hesperetin-7-O-rutinoside"
MD01533,Alpha-L-rhamnosidase,P0164,lrA,Alpha-L-rhamnosidase (lrA),A0A179YH30_LACRH,MC00018,Lacticaseibacillus rhamnosus,Lactobacillus rhamnosus subsp. Rhamnosus NCTC 10302,.,DR0320,hesperetin-7-O-rutinoside,Microbiome Metabolic Modification Drug,Directly,.,Hesperetin-7-O-rutinoside aglycones,.,MET0322,.,.,.,involved in drug metabolism,Metabolic modification of hesperetin-7-O-rutinoside,In vitro,.,.,.,"The protein Alpha-L-rhamnosidase (lrA) of Lactobacillus rhamnosus subsp. Rhamnosus NCTC 10302 has been reported to metabolic modification of hesperetin-7-O-rutinoside, converting it to Hesperetin-7-O-rutinoside aglycones.","only L. rhamnosus exhibited rhamnosidase and glucosidase activity and unlike B. longum, which was able to convert hesperetin-7-O-rutinoside and naringenin-7-O-rutinoside to their respective aglycones."
MD00289,Beta-glucosidase,P0553,DHW75_01370,Beta-glucosidase (DHW75_01370),A0A3D3EFK9_9BACE,MC00340,Bacteroides JY-6,.,.,DR0321,hesperidin,Microbiome Metabolic Modification Drug,Directly,.,Hesperetin,72281,MET0113,.,.,.,increase drug bioavailability,Increasing drug bioavailability of hesperidin,.,.,.,.,"The Protein Beta-glucosidase (DHW75_01370) of Bacteroides JY-6 has been reported to increase drug bioavailability of hesperidin, converting it to Hesperetin.",.
MD00289,Alpha-L-rhamnosidase,P0503,BSAG_01549,Alpha-L-rhamnosidase (BSAG_01549),C3QD04_9BACE,MC00340,Bacteroides JY-6,.,.,DR0321,hesperidin,Microbiome Metabolic Modification Drug,Directly,.,Hesperetin,72281,MET0113,.,.,.,increase drug bioavailability,Increasing drug bioavailability of hesperidin,.,.,.,.,"The Protein Alpha-L-rhamnosidase (BSAG_01549) of Bacteroides JY-6 has been reported to increase drug bioavailability of hesperidin, converting it to Hesperetin.",.
MD01171,Beta-glucosidase,P0252,DCY19_10210,Beta-glucosidase (DCY19_10210),A0A351PC96_9FIRM,MC00022,Eubacterium YK-4,.,.,DR0321,hesperidin,Microbiome Metabolic Modification Drug,Directly,.,Hesperetin,72281,MET0113,.,.,.,increase drug bioavailability,Increasing drug bioavailability of hesperidin,.,.,.,.,"The Protein Beta-glucosidase (DCY19_10210) of Eubacterium YK-4 has been reported to increase drug bioavailability of hesperidin, converting it to Hesperetin.",.
MD01171,Alpha-L-rhamnosidase,P0580,SAMEA3545338_01637,Alpha-L-rhamnosidase (SAMEA3545338_01637),A0A1C5SHZ4_9FIRM,MC00022,Eubacterium YK-4,.,.,DR0321,hesperidin,Microbiome Metabolic Modification Drug,Directly,.,Hesperetin,72281,MET0113,.,.,.,increase drug bioavailability,Increasing drug bioavailability of hesperidin,.,.,.,.,"The Protein Alpha-L-rhamnosidase (SAMEA3545338_01637) of Eubacterium YK-4 has been reported to increase drug bioavailability of hesperidin, converting it to Hesperetin.",.
MD01246,Alpha-rhamnosidase,P0592,.,Alpha-rhamnosidase,.,MC00019,Fusobacterium K-60,.,.,DR0321,hesperidin,Microbiome Metabolic Modification Drug,Directly,.,Hesperetin,72281,MET0113,.,.,.,increase drug bioavailability,Increasing drug bioavailability of hesperidin,.,.,.,.,"The Protein Alpha-rhamnosidase of Fusobacterium K-60 has been reported to increase drug bioavailability of hesperidin, converting it to Hesperetin.",.
MD01246,6-phospho-Alpha-glucosidase,P0523,KIC95_02860,6-phospho-Alpha-glucosidase (KIC95_02860),A0A943PV62_9FUSO,MC00019,Fusobacterium K-60,.,.,DR0321,hesperidin,Microbiome Metabolic Modification Drug,Directly,.,Hesperetin,72281,MET0113,.,.,.,increase drug bioavailability,Increasing drug bioavailability of hesperidin,.,.,.,.,"The Protein 6-phospho-Alpha-glucosidase (KIC95_02860) of Fusobacterium K-60 has been reported to increase drug bioavailability of hesperidin, converting it to Hesperetin.",.
MD06070,.,.,.,.,.,MC00569,unclassified Pseudocera,.,.,DR0321,hesperidin,Microbiome Metabolic Modification Drug,Directly,.,Hesperetin,72281,MET0113,.,.,Deglycosylation,increase drug efficacy,Increasing drug efficacy of hesperidin,.,.,.,.,"The unclassified Pseudocera has been reported to increase drug efficacy of hesperidin, converting it to Hesperetin.",Increased activity
MD06538,.,.,.,.,.,MC00139,Bifidobacterium pseudocatenulatum,Bifidobacterium pseudocatenulatum WC 0400,.,DR0321,hesperidin,Microbiome Metabolic Modification Drug,Directly,.,Aglycone,139597845,MET0278,.,.,.,involved in drug metabolism,Metabolic modification of hesperidin,Fecal samples,Human,Healthy,HPLC analysis,"The Bifidobacterium pseudocatenulatum WC 0400 has been reported to metabolic modification of hesperidin, converting it to Aglycone.","The data herein presented demonstrated that B. pseudocatenulatum can hydrolyze certain rutinose-conjugated polyphenols, such as hesperidin, thus releasing the aglycone form. Therefore, B. pseudocatenulatum may potentially contribute to the bioavailability of this class of molecules."
MD06539,.,.,.,.,.,MC00139,Bifidobacterium pseudocatenulatum,Bifidobacterium pseudocatenulatum WC 0401,.,DR0321,hesperidin,Microbiome Metabolic Modification Drug,Directly,.,Aglycone,139597845,MET0278,.,.,.,involved in drug metabolism,Metabolic modification of hesperidin,Fecal samples,Human,Healthy,HPLC analysis,"The Bifidobacterium pseudocatenulatum WC 0401 has been reported to metabolic modification of hesperidin, converting it to Aglycone.","The data herein presented demonstrated that B. pseudocatenulatum can hydrolyze certain rutinose-conjugated polyphenols, such as hesperidin, thus releasing the aglycone form. Therefore, B. pseudocatenulatum may potentially contribute to the bioavailability of this class of molecules."
MD06540,.,.,.,.,.,MC00139,Bifidobacterium pseudocatenulatum,Bifidobacterium pseudocatenulatum WC 0403,.,DR0321,hesperidin,Microbiome Metabolic Modification Drug,Directly,.,Aglycone,139597845,MET0278,.,.,.,involved in drug metabolism,Metabolic modification of hesperidin,Fecal samples,Human,Healthy,HPLC analysis,"The Bifidobacterium pseudocatenulatum WC 0403 has been reported to metabolic modification of hesperidin, converting it to Aglycone.","The data herein presented demonstrated that B. pseudocatenulatum can hydrolyze certain rutinose-conjugated polyphenols, such as hesperidin, thus releasing the aglycone form. Therefore, B. pseudocatenulatum may potentially contribute to the bioavailability of this class of molecules."
MD06541,.,.,.,.,.,MC00139,Bifidobacterium pseudocatenulatum,Bifidobacterium pseudocatenulatum WC 0407,.,DR0321,hesperidin,Microbiome Metabolic Modification Drug,Directly,.,Aglycone,139597845,MET0278,.,.,.,involved in drug metabolism,Metabolic modification of hesperidin,Fecal samples,Human,Healthy,HPLC analysis,"The Bifidobacterium pseudocatenulatum WC 0407 has been reported to metabolic modification of hesperidin, converting it to Aglycone.","The data herein presented demonstrated that B. pseudocatenulatum can hydrolyze certain rutinose-conjugated polyphenols, such as hesperidin, thus releasing the aglycone form. Therefore, B. pseudocatenulatum may potentially contribute to the bioavailability of this class of molecules."
MD06542,.,.,.,.,.,MC00139,Bifidobacterium pseudocatenulatum,Bifidobacterium pseudocatenulatum WC 0408,.,DR0321,hesperidin,Microbiome Metabolic Modification Drug,Directly,.,Aglycone,139597845,MET0278,.,.,.,involved in drug metabolism,Metabolic modification of hesperidin,Fecal samples,Human,Healthy,HPLC analysis,"The Bifidobacterium pseudocatenulatum WC 0408 has been reported to metabolic modification of hesperidin, converting it to Aglycone.","The data herein presented demonstrated that B. pseudocatenulatum can hydrolyze certain rutinose-conjugated polyphenols, such as hesperidin, thus releasing the aglycone form. Therefore, B. pseudocatenulatum may potentially contribute to the bioavailability of this class of molecules."
MD02189,"Homogentisate 1,2-dioxygenase",P0011,hmgA,"Homogentisate 1,2-dioxygenase (hmgA)",A0A0H2M8H5_VARPD,MC00399,Variovorax paradoxus,.,.,DR0322,Homovanillic acid,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,Metabolic modification of Homovanillic acid,.,.,.,.,"The protein Homogentisate 1,2-dioxygenase (hmgA) of Variovorax paradoxus has been reported to metabolic modification of Homovanillic acid, thereby affecting drug activity.",.
MD01866,Acetone carboxylase,P0073,acxC,Acetone carboxylase (acxC),D5ASJ5_RHOCB,MC00400,Rhodobacter capsulatus,.,.,DR0323,HSDB-41,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,Metabolic modification of HSDB-41,.,.,.,.,"The protein Acetone carboxylase (acxC) of Rhodobacter capsulatus has been reported to metabolic modification of HSDB-41, thereby affecting drug activity.",.
MD02217,Acetone carboxylase,P0001,acxB,Acetone carboxylase (acxB),ACXB_XANP2,MC00401,Xanthobacter autotrophicus,.,.,DR0323,HSDB-41,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,Metabolic modification of HSDB-41,.,.,.,.,"The protein Acetone carboxylase (acxB) of Xanthobacter autotrophicus has been reported to metabolic modification of HSDB-41, thereby affecting drug activity.",.
MD02011,.,.,.,.,.,MC00402,Scopulariopsis brevicaulis,.,.,DR0324,HSDB-595,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,Metabolic modification of HSDB-595,.,.,.,.,"The Scopulariopsis brevicaulis has been reported to metabolic modification of HSDB-595, thereby affecting drug activity.",.
MD00949,Oxygen-insensitive NADPH nitroreductase A,P0255,nfsA,Oxygen-insensitive NADPH nitroreductase A (nfsA),NFSA_ECOLI,MC00040,Escherichia coli,.,.,DR0325,HSDB-674,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,Metabolic modification of HSDB-674,In vitro,.,.,.,"The protein Oxygen-insensitive NADPH nitroreductase A (nfsA) of Escherichia coli has been reported to metabolic modification of HSDB-674, thereby affecting drug activity.",.
MD00163,Cytochrome P450 BM3,P0410,cypBM3,Cytochrome P450 BM3 (cypBM3),M9TKI6_BACME,MC00064,Bacillus megaterium,.,.,DR0326,HY-12638,Microbiome Metabolic Modification Drug,Directly,.,Dichlorophen,3037,MET0042,.,.,.,involved in drug metabolism,Metabolic modification of HY-12638,.,.,.,.,"The protein Cytochrome P450 BM3 (cypBM3) of Bacillus megaterium has been reported to metabolic modification of HY-12638, converting it to Dichlorophen.","Six out of eight tested pesticides (dichlorophen, parathion, linuron, pentachlorophenol, chlorpyrifos and dinoterb) were transformed by both, the modified and the unmodified enzyme, while picloran and propanil were not transformed."
MD00171,Hyaluronidase,P0409,hyl,Hyaluronidase (hyl),W5RSC1_9BACI,MC00064,Bacillus megaterium,.,.,DR0327,Hyaluronan,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,Metabolic modification of Hyaluronan,.,.,.,.,"The protein Hyaluronidase (hyl) of Bacillus megaterium has been reported to metabolic modification of Hyaluronan, thereby affecting drug activity.",.
MD02075,Hyaluronate lyase,P0039,hyaL,Hyaluronate lyase (hyaL),D1AWD4_STRM9,MC00304,Streptobacillus moniliformis,.,.,DR0327,Hyaluronan,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,Metabolic modification of Hyaluronan,.,.,.,.,"The protein Hyaluronate lyase (hyaL) of Streptobacillus moniliformis has been reported to metabolic modification of Hyaluronan, thereby affecting drug activity.",.
MD02153,Hyaluronoglucosaminidase,P0600,nagH,Hyaluronoglucosaminidase (nagH),.,MC00306,Treponema denticola,.,.,DR0328,Hyaluronic acid,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,Metabolic modification of Hyaluronic acid,In vitro,.,.,.,"The protein Hyaluronoglucosaminidase (nagH) of Treponema denticola has been reported to metabolic modification of Hyaluronic acid, thereby affecting drug activity.",The HGase has been localized at the cell surface by electron microscopy and may play an active role in the degradation of connective tissue ground substance in the initiation and progression of periodontal disease.
MD02155,Hyaluronoglucosaminidase,P0601,nagH,Hyaluronoglucosaminidase (nagH),.,MC00307,Treponema socranskii,.,.,DR0328,Hyaluronic acid,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,Metabolic modification of Hyaluronic acid,In vitro,.,.,.,"The protein Hyaluronoglucosaminidase (nagH) of Treponema socranskii has been reported to metabolic modification of Hyaluronic acid, thereby affecting drug activity.",The HGase has been localized at the cell surface by electron microscopy and may play an active role in the degradation of connective tissue ground substance in the initiation and progression of periodontal disease.
MD02157,Hyaluronoglucosaminidase,P0017,nagH,Hyaluronoglucosaminidase (nagH),NAGH_CLOPE,MC00305,Treponema vincentii,.,.,DR0328,Hyaluronic acid,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,Metabolic modification of Hyaluronic acid,In vitro,.,.,.,"The protein Hyaluronoglucosaminidase (nagH) of Treponema vincentii has been reported to metabolic modification of Hyaluronic acid, thereby affecting drug activity.",The HGase has been localized at the cell surface by electron microscopy and may play an active role in the degradation of connective tissue ground substance in the initiation and progression of periodontal disease.
MD00086,.,.,.,.,.,MC00283,Alistipes onderdonkii,.,.,DR0329,Hydrocortisone,Microbiome Metabolic Modification Drug,Directly,.,20beta-dihydrocortisone,13367714,MET0251,.,.,Reduction,involved in drug metabolism,Metabolic modification of Hydrocortisone,In vitro,.,.,High-throughput drug screening assays,"The Alistipes onderdonkii has been reported to metabolic modification of Hydrocortisone, converting it to 20beta-dihydrocortisone.",.
MD00099,.,.,.,.,.,MC00137,Alistipes putredinis,.,.,DR0329,Hydrocortisone,Microbiome Metabolic Modification Drug,Directly,.,20beta-dihydrocortisone,13367714,MET0251,.,.,Reduction,involved in drug metabolism,Metabolic modification of Hydrocortisone,In vitro,.,.,High-throughput drug screening assays,"The Alistipes putredinis has been reported to metabolic modification of Hydrocortisone, converting it to 20beta-dihydrocortisone.",.
MD00215,.,.,.,.,.,MC00080,Bacteroides caccae,.,.,DR0329,Hydrocortisone,Microbiome Metabolic Modification Drug,Directly,.,20beta-dihydrocortisone,13367714,MET0251,.,.,Reduction,involved in drug metabolism,Metabolic modification of Hydrocortisone,In vitro,.,.,High-throughput drug screening assays,"The Bacteroides caccae has been reported to metabolic modification of Hydrocortisone, converting it to 20beta-dihydrocortisone.",.
MD00311,.,.,.,.,.,MC00085,Bacteroides ovatus,.,.,DR0329,Hydrocortisone,Microbiome Metabolic Modification Drug,Directly,.,20beta-dihydrocortisone,13367714,MET0251,.,.,Reduction,involved in drug metabolism,Metabolic modification of Hydrocortisone,In vitro,.,.,High-throughput drug screening assays,"The Bacteroides ovatus has been reported to metabolic modification of Hydrocortisone, converting it to 20beta-dihydrocortisone.",.
MD00328,.,.,.,.,.,MC02728,Phocaeicola plebeius,.,.,DR0329,Hydrocortisone,Microbiome Metabolic Modification Drug,Directly,.,20beta-dihydrocortisone,13367714,MET0251,.,.,Reduction,involved in drug metabolism,Metabolic modification of Hydrocortisone,In vitro,.,.,High-throughput drug screening assays,"The Phocaeicola plebeius has been reported to metabolic modification of Hydrocortisone, converting it to 20beta-dihydrocortisone.",.
MD00387,.,.,.,.,.,MC00088,Bacteroides uniformis,.,.,DR0329,Hydrocortisone,Microbiome Metabolic Modification Drug,Directly,.,20beta-dihydrocortisone,13367714,MET0251,.,.,Reduction,involved in drug metabolism,Metabolic modification of Hydrocortisone,In vitro,.,.,High-throughput drug screening assays,"The Bacteroides uniformis has been reported to metabolic modification of Hydrocortisone, converting it to 20beta-dihydrocortisone.",.
MD00440,.,.,.,.,.,MC00356,Bifidobacterium adolescentis,.,.,DR0329,Hydrocortisone,Microbiome Metabolic Modification Drug,Directly,.,20beta-dihydrocortisone,13367714,MET0251,.,.,Reduction,involved in drug metabolism,Metabolic modification of Hydrocortisone,In vitro,.,.,High-throughput drug screening assays,"The Bifidobacterium adolescentis has been reported to metabolic modification of Hydrocortisone, converting it to 20beta-dihydrocortisone.",.
MD01278,.,.,.,.,.,MC00131,Gemmiger formicilis,.,.,DR0329,Hydrocortisone,Microbiome Metabolic Modification Drug,Directly,.,20beta-dihydrocortisone,13367714,MET0251,.,.,Reduction,involved in drug metabolism,Metabolic modification of Hydrocortisone,In vitro,.,.,High-throughput drug screening assays,"The Gemmiger formicilis has been reported to metabolic modification of Hydrocortisone, converting it to 20beta-dihydrocortisone.",.
MD00856,.,.,.,.,.,MC00184,Enterocloster bolteae,.,.,DR0330,Hydrocortisone acetate,Microbiome Metabolic Modification Drug,Directly,.,Hydrocortisone,5754,MET0055,.,.,Deacetylation of the C21 hydroxyl group,involved in drug metabolism,Metabolic modification of Hydrocortisone acetate,In vitro,.,.,High-throughput drug screening assays,"The Enterocloster bolteae has been reported to metabolic modification of Hydrocortisone acetate, converting it to Hydrocortisone.",.
MD01725,.,.,.,.,.,MC00100,Parabacteroides distasonis,.,.,DR0330,Hydrocortisone acetate,Microbiome Metabolic Modification Drug,Directly,.,Hydrocortisone,5754,MET0055,.,.,Deacetylation of the C21 hydroxyl group,involved in drug metabolism,Metabolic modification of Hydrocortisone acetate,In vitro,.,.,High-throughput drug screening assays,"The Parabacteroides distasonis has been reported to metabolic modification of Hydrocortisone acetate, converting it to Hydrocortisone.",.
MD02216,Fumarate reductase flavoprotein,P0002,frdA,Fumarate reductase flavoprotein (frdA),FRDA_WOLSU,MC00372,Wolinella succinogenes,.,.,DR0331,Hydroquinone,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,Metabolic modification of Hydroquinone,.,.,.,.,"The protein Fumarate reductase flavoprotein (frdA) of Wolinella succinogenes has been reported to metabolic modification of Hydroquinone, thereby affecting drug activity.",.
MD00790,Amylosucrase,P0303,AMS,Amylosucrase (AMS),Q1J0W0_DEIGD,MC00404,Deinococcus geothermalis,.,.,DR0332,Hydroxydaidzein,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,Metabolic modification of Hydroxydaidzein,.,.,.,.,"The protein Amylosucrase (AMS) of Deinococcus geothermalis has been reported to metabolic modification of Hydroxydaidzein, thereby affecting drug activity.",.
MD01218,.,.,.,.,.,MC00405,Fusarium oxysporum,.,.,DR0333,Hydroxymanzamine A,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,Metabolic modification of Hydroxymanzamine A,In vitro,.,.,.,"The Fusarium oxysporum has been reported to metabolic modification of Hydroxymanzamine A, thereby affecting drug activity.","Several mechanisms were involved in the transformation of the manzamine alkaloids including oxidation, reduction, hydrolysis, dehydration, and the retro Pictet-Spengler reaction."
MD01222,.,.,.,.,.,MC00406,Fusarium proliferatum,.,.,DR0333,Hydroxymanzamine A,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,Metabolic modification of Hydroxymanzamine A,In vitro,.,.,.,"The Fusarium proliferatum has been reported to metabolic modification of Hydroxymanzamine A, thereby affecting drug activity.","Several mechanisms were involved in the transformation of the manzamine alkaloids including oxidation, reduction, hydrolysis, dehydration, and the retro Pictet-Spengler reaction."
MD01226,.,.,.,.,.,MC00407,Fusarium solani,.,.,DR0333,Hydroxymanzamine A,Microbiome Metabolic Modification Drug,Directly,.,Ircinal A,5270588,MET0189,.,.,.,involved in drug metabolism,Metabolic modification of Hydroxymanzamine A,In vitro,.,.,.,"The Fusarium solani has been reported to metabolic modification of Hydroxymanzamine A, converting it to Ircinal A.","Several mechanisms were involved in the transformation of the manzamine alkaloids including oxidation, reduction, hydrolysis, dehydration, and the retro Pictet-Spengler reaction."
MD00488,.,.,.,.,.,MC00288,Bifidobacterium breve,.,.,DR0334,HY-N0791,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,Metabolic modification of HY-N0791,.,.,.,.,"The Bifidobacterium breve has been reported to metabolic modification of HY-N0791, thereby affecting drug activity.",.
MD01160,.,.,.,.,.,MC00193,Eubacterium siraeum,.,.,DR0334,HY-N0791,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,Metabolic modification of HY-N0791,.,.,.,.,"The Eubacterium siraeum has been reported to metabolic modification of HY-N0791, thereby affecting drug activity.",.
MD02062,.,.,.,.,.,MC00409,Sphingomonas colocasiae,.,.,DR0336,Ibuprofen,Microbiome Metabolic Modification Drug,Directly,.,Catechols,.,MET0304,.,.,.,involved in drug metabolism,Metabolic modification of Ibuprofen,.,.,.,.,"The Sphingomonas colocasiae has been reported to metabolic modification of Ibuprofen, converting it to Catechols.",Sphingomonas Ibu 2 has the unusual ability to cleave the acid side chain of ibuprofen and yield catechols
MD00962,.,.,.,.,.,MC00040,Escherichia coli,Escherichia coli Nissle 1917,316435,DR0337,Idarubicin,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,decreased drug activity,Decreasing the drug activity of Idarubicin,In vitro,.,.,.,The Escherichia coli Nissle 1917 has been reported to decrease the drug activity of Idarubicin.,Decrease drug cytotoxicity in vitro.
MD02409,.,.,.,.,.,MC00083,Bacteroides fragilis,Bacteroides fragilis T(B)9,.,DR0338,Idebenone,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,Significantly reduce the level of Idebenone,In vitro,.,.,High-throughput drug screening assays,"The level of Idebenone was significantly reduced by the Bacteroides fragilis (strain: Bacteroides fragilis T(B)9 ) [FDR-corrected p-value (pFDR) = 0.027 , log2(fold change)= -0.765 ]",.
MD02410,.,.,.,.,.,MC00083,Bacteroides fragilis,Bacteroides fragilis str. 3397 T10,1339284,DR0338,Idebenone,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,Significantly reduce the level of Idebenone,In vitro,.,.,High-throughput drug screening assays,"The level of Idebenone was significantly reduced by the Bacteroides fragilis (strain: Bacteroides fragilis str. 3397 T10 ) [FDR-corrected p-value (pFDR) = 0.05 , log2(fold change)= -0.636 ]",.
MD02411,.,.,.,.,.,MC00083,Bacteroides fragilis,Bacteroides fragilis HMW 610,1073386,DR0338,Idebenone,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,Significantly reduce the level of Idebenone,In vitro,.,.,High-throughput drug screening assays,"The level of Idebenone was significantly reduced by the Bacteroides fragilis (strain: Bacteroides fragilis HMW 610 ) [FDR-corrected p-value (pFDR) = 0.005 , log2(fold change)= -0.988 ]",.
MD02412,.,.,.,.,.,MC00083,Bacteroides fragilis,Bacteroides fragilis DS-208,.,DR0338,Idebenone,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,Significantly reduce the level of Idebenone,In vitro,.,.,High-throughput drug screening assays,"The level of Idebenone was significantly reduced by the Bacteroides fragilis (strain: Bacteroides fragilis DS-208 ) [FDR-corrected p-value (pFDR) = 0.038 , log2(fold change)= -0.706 ]",.
MD02413,.,.,.,.,.,MC00083,Bacteroides fragilis,Bacteroides fragilis ATCC 43859,.,DR0338,Idebenone,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,Significantly reduce the level of Idebenone,In vitro,.,.,High-throughput drug screening assays,"The level of Idebenone was significantly reduced by the Bacteroides fragilis (strain: Bacteroides fragilis ATCC 43859 ) [FDR-corrected p-value (pFDR) = 0.05 , log2(fold change)= -0.799 ]",.
MD03209,.,.,.,.,.,MC00270,Clostridium sp.,.,.,DR0338,Idebenone,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,Significantly reduce the level of Idebenone,In vitro,.,.,High-throughput drug screening assays,"The level of Idebenone was significantly reduced by the Clostridium sp. [FDR-corrected p-value (pFDR) = 0.041 , log2(fold change)= -0.563 ]",.
MD03525,.,.,.,.,.,MC00211,Roseburia intestinalis,Roseburia intestinalis L1-82,536231,DR0338,Idebenone,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,Significantly reduce the level of Idebenone,In vitro,.,.,High-throughput drug screening assays,"The level of Idebenone was significantly reduced by the Roseburia intestinalis (strain: Roseburia intestinalis L1-82 ) [FDR-corrected p-value (pFDR) = 0.008 , log2(fold change)= -0.364 ]",.
